implementation,optimization,n,block_size,seconds
basic,O0,128,,0.006497208
basic,O0,256,,0.052497875
basic,O0,512,,0.410936917
basic,O0,1024,,3.528605917
basic,O0,2048,,34.713114667
basic,O1,128,,0.0013985
basic,O1,256,,0.013570125
basic,O1,512,,0.125571875
basic,O1,1024,,1.417397125
basic,O1,2048,,23.845247709
basic,O2,128,,0.001557084
basic,O2,256,,0.013944375
basic,O2,512,,0.123809125
basic,O2,1024,,1.408313208
basic,O2,2048,,22.969437583
basic,O3,128,,0.0016595
basic,O3,256,,0.013854459
basic,O3,512,,0.125061833
basic,O3,1024,,1.535363375
basic,O3,2048,,22.865530375
blas,O0,128,,0.0001865
blas,O0,256,,0.00036475
blas,O0,512,,0.001852083
blas,O0,1024,,0.012570875
blas,O0,2048,,0.074717292
blas,O1,128,,0.00012925
blas,O1,256,,0.000320208
blas,O1,512,,0.00164175
blas,O1,1024,,0.012531041
blas,O1,2048,,0.089093875
blas,O2,128,,0.000186375
blas,O2,256,,0.000316375
blas,O2,512,,0.001861291
blas,O2,1024,,0.013242667
blas,O2,2048,,0.075118084
blas,O3,128,,0.000196792
blas,O3,256,,0.000441
blas,O3,512,,0.001686
blas,O3,1024,,0.012913292
blas,O3,2048,,0.071312958
blocked,O0,128,2,0.009943916
blocked,O0,128,16,0.003839792
blocked,O0,128,32,0.003311458
blocked,O0,128,64,0.002972042
blocked,O0,256,2,0.061832166
blocked,O0,256,16,0.026278875
blocked,O0,256,32,0.02419875
blocked,O0,256,64,0.02311275
blocked,O0,512,2,0.499086583
blocked,O0,512,16,0.208709292
blocked,O0,512,32,0.190247417
blocked,O0,512,64,0.181201958
blocked,O0,1024,2,4.23500025
blocked,O0,1024,16,1.670427334
blocked,O0,1024,32,1.524905041
blocked,O0,1024,64,1.464698583
blocked,O0,2048,2,49.208641791
blocked,O0,2048,16,14.011537792
blocked,O0,2048,32,12.332890375
blocked,O0,2048,64,12.034633208
blocked,O1,128,2,0.002459833
blocked,O1,128,16,0.001138
blocked,O1,128,32,0.000990667
blocked,O1,128,64,0.000990291
blocked,O1,256,2,0.013750458
blocked,O1,256,16,0.006288916
blocked,O1,256,32,0.005529125
blocked,O1,256,64,0.006207667
blocked,O1,512,2,0.108073625
blocked,O1,512,16,0.047483042
blocked,O1,512,32,0.041020583
blocked,O1,512,64,0.049960416
blocked,O1,1024,2,0.948026166
blocked,O1,1024,16,0.386049333
blocked,O1,1024,32,0.327790125
blocked,O1,1024,64,0.396249625
blocked,O1,2048,2,11.2509725
blocked,O1,2048,16,3.178087084
blocked,O1,2048,32,2.666464292
blocked,O1,2048,64,3.314214834
blocked,O2,128,2,0.002093166
blocked,O2,128,16,0.000850791
blocked,O2,128,32,0.000820959
blocked,O2,128,64,0.000905959
blocked,O2,256,2,0.013675459
blocked,O2,256,16,0.005459125
blocked,O2,256,32,0.005349208
blocked,O2,256,64,0.006177
blocked,O2,512,2,0.113437917
blocked,O2,512,16,0.043547541
blocked,O2,512,32,0.039753875
blocked,O2,512,64,0.049230292
blocked,O2,1024,2,0.954512083
blocked,O2,1024,16,0.364109916
blocked,O2,1024,32,0.3229465
blocked,O2,1024,64,0.394238125
blocked,O2,2048,2,12.393536125
blocked,O2,2048,16,2.960742625
blocked,O2,2048,32,2.637235292
blocked,O2,2048,64,3.209939875
blocked,O3,128,2,0.002265208
blocked,O3,128,16,0.000877625
blocked,O3,128,32,0.000722875
blocked,O3,128,64,0.000963083
blocked,O3,256,2,0.014972083
blocked,O3,256,16,0.0056125
blocked,O3,256,32,0.005045291
blocked,O3,256,64,0.006789166
blocked,O3,512,2,0.112544042
blocked,O3,512,16,0.044656292
blocked,O3,512,32,0.038883667
blocked,O3,512,64,0.052953125
blocked,O3,1024,2,1.090747208
blocked,O3,1024,16,0.352458834
blocked,O3,1024,32,0.327248583
blocked,O3,1024,64,0.39957775
blocked,O3,2048,2,12.388386
blocked,O3,2048,16,2.9179915
blocked,O3,2048,32,2.621127916
blocked,O3,2048,64,3.168005291
