implementation,optimization,n,block_size,seconds
basic,O3,64,,0.000183295
basic,O3,128,,0.002699435
basic,O3,256,,0.036189492
basic,O3,512,,0.967417577
basic,O3,1024,,10.376443073
basic,O3,2048,,285.435383441
blas,O3,64,,1.2804e-05
blas,O3,128,,0.000169639
blas,O3,256,,0.000888179
blas,O3,512,,0.005427668
blas,O3,1024,,0.043500993
blas,O3,2048,,0.333626935
blocked,O3,64,2,0.000555225
blocked,O3,64,16,0.000108479
blocked,O3,64,32,0.000117057
blocked,O3,64,64,0.000150451
blocked,O3,128,2,0.004333859
blocked,O3,128,16,0.000856348
blocked,O3,128,32,0.000931524
blocked,O3,128,64,0.001199101
blocked,O3,256,2,0.034927426
blocked,O3,256,16,0.006924134
blocked,O3,256,32,0.007446185
blocked,O3,256,64,0.009599294
blocked,O3,512,2,0.335245741
blocked,O3,512,16,0.055949572
blocked,O3,512,32,0.059739139
blocked,O3,512,64,0.076869151
blocked,O3,1024,2,2.683897748
blocked,O3,1024,16,0.452488509
blocked,O3,1024,32,0.481828439
blocked,O3,1024,64,0.612405722
blocked,O3,2048,2,21.303348648
blocked,O3,2048,16,3.770944795
blocked,O3,2048,32,3.877906441
blocked,O3,2048,64,4.92525021
