implementation,optimization,n,block_size,seconds
basic,O3,64,,0.000162454
basic,O3,128,,0.002700983
basic,O3,256,,0.036269553
basic,O3,512,,0.972057011
basic,O3,1024,,9.970516065
basic,O3,2048,,279.997130412
blas,O3,64,,1.4017e-05
blas,O3,128,,0.000143577
blas,O3,256,,0.000883405
blas,O3,512,,0.00541975
blas,O3,1024,,0.04231451
blas,O3,2048,,0.333317207
blocked,O3,64,2,0.000549881
blocked,O3,64,16,0.00010851
blocked,O3,64,32,0.000117177
blocked,O3,64,64,0.00014996
blocked,O3,128,2,0.004377197
blocked,O3,128,16,0.0008809
blocked,O3,128,32,0.000960543
blocked,O3,128,64,0.001213712
blocked,O3,256,2,0.034621804
blocked,O3,256,16,0.006921187
blocked,O3,256,32,0.007443314
blocked,O3,256,64,0.009581952
blocked,O3,512,2,0.323600044
blocked,O3,512,16,0.056296132
blocked,O3,512,32,0.060401685
blocked,O3,512,64,0.077042629
blocked,O3,1024,2,2.652904143
blocked,O3,1024,16,0.451212465
blocked,O3,1024,32,0.484508501
blocked,O3,1024,64,0.611620346
blocked,O3,2048,2,24.078588108
blocked,O3,2048,16,3.852240343
blocked,O3,2048,32,3.927279977
blocked,O3,2048,64,4.944990741
